,osurl,subject
0,"https://explorer-api.opensyllabus.org/v1/works/33268816675126.json
",Bible.
1,"https://explorer-api.opensyllabus.org/v1/works/33268816675126.json
","Greek language, Biblical"
2,"https://explorer-api.opensyllabus.org/v1/works/7507602833481.json
",Aeneas (Legendary character)
3,"https://explorer-api.opensyllabus.org/v1/works/46858093201267.json
",Bible.
4,"https://explorer-api.opensyllabus.org/v1/works/46858093201267.json
","Greek language, Biblical"
5,"https://explorer-api.opensyllabus.org/v1/works/46858093201267.json
","Greek language, Biblical"
6,"https://explorer-api.opensyllabus.org/v1/works/49529562859473.json
",Bible.
7,"https://explorer-api.opensyllabus.org/v1/works/49529562859473.json
","Greek language, Biblical"
8,"https://explorer-api.opensyllabus.org/v1/works/61203283990307.json
","Greek language, Biblical"
9,"https://explorer-api.opensyllabus.org/v1/works/38706245272542.json
",Greek language
10,"https://explorer-api.opensyllabus.org/v1/works/7507602833418.json
",Agriculture
11,"https://explorer-api.opensyllabus.org/v1/works/7507602833418.json
","Didactic poetry, Greek"
12,"https://explorer-api.opensyllabus.org/v1/works/44513041055787.json
",English language
13,"https://explorer-api.opensyllabus.org/v1/works/44513041055787.json
",Latin language
14,"https://explorer-api.opensyllabus.org/v1/works/7507602833454.json
",Greece
15,"https://explorer-api.opensyllabus.org/v1/works/38706245274697.json
","Speeches, addresses, etc., Latin"
16,"https://explorer-api.opensyllabus.org/v1/works/33045478377342.json
","Art, Greek."
17,"https://explorer-api.opensyllabus.org/v1/works/33045478377342.json
",Greece
18,"https://explorer-api.opensyllabus.org/v1/works/7507602833448.json
",Dramatists
19,"https://explorer-api.opensyllabus.org/v1/works/7507602833448.json
",Playwriting
20,"https://explorer-api.opensyllabus.org/v1/works/7507602833448.json
",Dionysus (Greek deity)
21,"https://explorer-api.opensyllabus.org/v1/works/7507602833448.json
",Voyages to the otherworld
22,"https://explorer-api.opensyllabus.org/v1/works/7791071181465.json
",Translating and interpreting.
23,"https://explorer-api.opensyllabus.org/v1/works/54503134986582.json
","Gods, Greek."
24,"https://explorer-api.opensyllabus.org/v1/works/54503134986582.json
",Greece
25,"https://explorer-api.opensyllabus.org/v1/works/48241072671307.json
","Sculpture, Greek"
26,"https://explorer-api.opensyllabus.org/v1/works/7507602833486.json
",Incantations.
27,"https://explorer-api.opensyllabus.org/v1/works/7507602833487.json
",Women
28,"https://explorer-api.opensyllabus.org/v1/works/7507602833487.json
",Love-letters
29,"https://explorer-api.opensyllabus.org/v1/works/7507602833487.json
","Mythology, Classical"
30,"https://explorer-api.opensyllabus.org/v1/works/7507602833487.json
","Love poetry, Latin."
31,"https://explorer-api.opensyllabus.org/v1/works/7507602833487.json
","Epistolary poetry, Latin."
32,"https://explorer-api.opensyllabus.org/v1/works/7816841009583.json
",Sophocles
33,"https://explorer-api.opensyllabus.org/v1/works/7816841009583.json
",Oedipus (Greek mythology)
34,"https://explorer-api.opensyllabus.org/v1/works/7816841009583.json
",Antigone (Greek mythology)
35,"https://explorer-api.opensyllabus.org/v1/works/7816841009583.json
",Thebes (Greece)
36,"https://explorer-api.opensyllabus.org/v1/works/9053791567988.json
",Greek drama (Tragedy)
